"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"inspire_audit_log_prod-2021.04.16","74189","2","0","0",,,
"inspire_audit_log_prod-2021.04.19","828484","31","0","0",,,
".kibana-event-log-7.10.2-000004","32212567","206353","0","0",,,
".kibana-event-log-7.10.2-000005","106337635","647477","0","0",,,
".kibana-event-log-7.10.2-000006","416","0","0","0",,,
".kibana-event-log-7.10.2-000003","115332","17","0","0",,,
"filebeat-7.3.2-2021.05.26-000028","416","0","0","0",,,
"filebeat-7.12.0-2021.04.14-000002","3110781322","6921167","0","0",,,
"filebeat-6.2.2-2021.03.13","981898","2334","0","0.000914463773369789","981898","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.12","1024274","2425","0","0.000953929498791695","1024274","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.11","1165610","2389","0","0.00108555890619755","1165610","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.10","1020536","2418","0","0.000950448215007782","1020536","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.8.0-2021.04.09-000024","13031594","52163","0","0",,,"DELETED_INDEX"
"auditbeat-7.12.1-2021.06.03-000003","1830786866","1589619","0","0",,,"DELETED_INDEX"
"filebeat-6.2.2-2021.03.19","748944","1487","0","0.000697508454322815","748944","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.18","916306","1595","0","0.000853376463055611","916306","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.17","776732","1489","0","0.00072338804602623","776732","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.16","2313658","5263","0","0.0021547619253397","2313658","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.15","997350","2341","0","0.000928854569792747","997350","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.11.1-2021.05.20-000018","1292027646","3874958","0","0",,,"DELETED_INDEX"
"shrink-h6zl-winlogbeat-pdv-2021.05.22-000002","732281662","290833","0","0",,,"DELETED_INDEX"
"filebeat-6.2.2-2021.03.03","930972","2317","0","0.000867035239934921","930972","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.02","1452844","3827","0","0.00135306641459465","1452844","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.01","960447","2326","0","0.000894485972821712","960447","DELETE_INDEX","DELETED_INDEX"
".fleet-enrollment-api-keys-7","13628","2","0","0",,,"DELETED_INDEX"
".apm-agent-configuration","566","0","0","0",,,"DELETED_INDEX"
"metricbeat-7.10.2-2021.05.30-000031","64624020192","106867540","0","0",,,"DELETED_INDEX"
"filebeat-6.2.2-2021.03.09","990211","2387","0","0.000922205857932568","990211","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.08","1011816","2421","0","0.000942327082157135","1011816","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.07","971212","2322","0","0.000904511660337448","971212","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.06","917787","2400","0","0.000854755751788616","917787","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.05","878425","2314","0","0.000818097032606602","878425","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.04","1020710","2419","0","0.000950610265135765","1020710","DELETE_INDEX","DELETED_INDEX"
"dhcp-logs-2021.05.16","107751849","144011","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.15","109147568","145329","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.14","164478041","229915","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.13","227682664","325825","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.12","237227843","328766","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.11","242488976","331243","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.10","233919590","318047","0","0",,,"DELETED_INDEX"
"shrink-inspire_log_prod-2021.05.22-000029","416","0","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.02","1774890294","1703898","0","1.6529953982681","1774890294","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.01","1943633166","2039847","0","1.81014944426715","1943633166","DELETE_INDEX","DELETED_INDEX"
"dhcp-logs-2021.05.09","133279866","171696","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.08","104252811","131691","0","0",,,"DELETED_INDEX"
"filebeat-7.3.2-2021.05.12-000026","2943650","10613","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.07","163342343","215037","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.06","238130278","323532","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.08","1564723314","1620858","0","1.45726214535534","1564723314","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.07","1848724029","2164958","0","1.72175842244178","1848724029","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.09","1687449895","1755478","0","1.57156018074602","1687449895","DELETE_INDEX","DELETED_INDEX"
"auditbeat-7.12.0-2021.06.07-000007","10334418319","7662372","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.04","2143032292","2337805","0","1.99585435166955","2143032292","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.03","1785034518","1831840","0","1.66244294308126","1785034518","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.06","1776006936","1754848","0","1.65403535217047","1776006936","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.05","1813275762","1717987","0","1.68874465115368","1813275762","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.03","4487857","7577","0","0.0041796425357461","4487857","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.04","1221311","1682","0","0.0011374345049262","1221311","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.01","1430208","2095","0","0.00133198499679565","1430208","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.02","6455991","11282","0","0.00601261015981436","6455991","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.07","735433","884","0","0.000684925355017185","735433","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.08","940761","1146","0","0.000876151956617832","940761","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.05","928440","976","0","0.000864677131175995","928440","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.06","1330629","2198","0","0.00123924482613802","1330629","DELETE_INDEX","DELETED_INDEX"
"dhcp-logs-2021.05.05","259657627","352074","0","0",,,"DELETED_INDEX"
".kibana_6","32260632","10910","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.04","237218412","320188","0","0",,,"DELETED_INDEX"
".kibana_5","11739360","4695","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.03","225031108","305180","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.02","132410559","169923","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.01","127322149","160986","0","0",,,"DELETED_INDEX"
".kibana_2","526961","201","0","0",,,"DELETED_INDEX"
".kibana_1","639418","198","0","0",,,"DELETED_INDEX"
"filebeat-7.3.1-2021.05.19-000027","416","0","0","0",,,"DELETED_INDEX"
".kibana_4","5500722","2183","0","0",,,"DELETED_INDEX"
".kibana_3","4095402","1449","0","0",,,"DELETED_INDEX"
"filebeat-7.11.1-2021.05.01-000012","53802058861","123402024","0","0",,,"DELETED_INDEX"
"nontraite-syslog-2021.03.09","1279573","1818","0","0.00119169522076845","1279573","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.10","4814951116","8281995","0","4.48427267000079","4814951116","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.11","7889993391","13721548","0","7.34812895860523","7889993391","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.12","9276667228","16309909","0","8.63956960663199","9276667228","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.13","10032720492","17687760","0","9.34369907900691","10032720492","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.14","6365472866","11166819","0","5.92830857820809","6365472866","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.15","3958114518","6869199","0","3.68628140352666","3958114518","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.16","3293719164","5981651","0","3.06751501187682","3293719164","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.17","4275294180","7639849","0","3.98167798295617","4275294180","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.18","8360751719","14787251","0","7.78655681665987","8360751719","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.19","9076692464","16308089","0","8.45332859456539","9076692464","DELETE_INDEX","DELETED_INDEX"
".apm-custom-link","416","0","0","0",,,"DELETED_INDEX"
"winlogbeat-7.10.2-2021.05.06-000016","510703","142","0","0",,,"DELETED_INDEX"
"filebeat-7.5.1-2021.02.01","4174876300","7472629","0","3.88815654441714","4174876300","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.02","3021383740","5113624","0","2.81388288363814","3021383740","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.8.0-2021.05.14-000029","416","0","0","0",,,"DELETED_INDEX"
"filebeat-7.5.1-2021.02.03","4367287294","7447980","0","4.06735324673355","4367287294","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.04","6297349732","10857630","0","5.86486396566033","6297349732","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.05","9414468660","16659702","0","8.76790719106793","9414468660","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.06","9023672400","15891518","0","8.40394981205463","9023672400","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.07","5546616992","9703188","0","5.1656896173954","5546616992","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.08","3565753700","6113477","0","3.32086691632867","3565753700","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.5.1-2021.02.09","4165845002","7206556","0","3.87974549271166","4165845002","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.17","881398007","207003","0","0.820865861140192","881398007","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.16","883019468","209575","0","0.82237596437335","883019468","DELETE_INDEX","DELETED_INDEX"
"heartbeat-7.10.2-2021.04.18-000003","956914556","192130","0","0",,,"DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.19","895434678","210325","0","0.833938529714942","895434678","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.18","882347735","208771","0","0.821750364266336","882347735","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.23","733190933","173422","0","0.682837267406285","733190933","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.20","825594138","195266","0","0.768894458189607","825594138","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.22","844926011","199789","0","0.786898667924106","844926011","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.21","888558348","216285","0","0.827534448355436","888558348","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.09","764227711","185401","0","0.711742519401014","764227711","DELETE_INDEX","DELETED_INDEX"
"auditbeat-7.10.0-2021.04.29-000005","416","0","0","0",,,"DELETED_INDEX"
".reporting-2020.05.17","3561224","10","0","0",,,"DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.06","734841218","179688","0","0.684374215081334","734841218","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.05","780238507","191234","0","0.726653735153377","780238507","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.08","740398573","180529","0","0.689549905247986","740398573","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.07","759263362","191082","0","0.707119109109044","759263362","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.13","817601760","194029","0","0.761450976133347","817601760","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.12","850972374","201948","0","0.792529782280326","850972374","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.15","840897714","200715","0","0.78314702399075","840897714","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.14","809264056","195967","0","0.753685884177685","809264056","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.11","868805187","206159","0","0.809137883596122","868805187","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.10","781637113","188310","0","0.72795628849417","781637113","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.10.1","1608673094","3113657","2728779","1.3130024101091","1409825602.74694","DELETE_DOCS","DELETED_DOCS"
"filebeat-7.10.0","7967967418","15322022","0","7.42074793018401","7967967418","DELETE_INDEX","DELETED_INDEX"
"log_inconnu-2021.06.29","50915486931","39867882","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.27","51486831283","40082467","0","0",,,"DELETED_INDEX"
