"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"nontraite-syslog-2021.03.24","1054201","1402","0","0.000981801189482212","1054201","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.29","1223135","1457","0","0.0011391332373023","1223135","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.27","871060","1083","0","0.000811237841844559","871060","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.28","924713","1162","0","0.000861206091940403","924713","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.7.0-2021.05.05","22813923","10599","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.27","243492235","348651","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.26","260687112","367722","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.04","21542820","10297","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.03","19960981","11378","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.25","252778048","356020","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.02","16639735","9483","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.24","111982827","147239","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.09","15160913","9563","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.23","113211212","149412","0","0",,,"DELETED_INDEX"
"nontraite-syslog-2021.03.21","1009945","1442","0","0.000940584577620029","1009945","DELETE_INDEX","DELETED_INDEX"
"nontraite-syslog-2021.03.22","1350243","1738","0","0.00125751178711653","1350243","DELETE_INDEX","DELETED_INDEX"
"dhcp-logs-2021.05.22","107424701","139206","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.08","18623773","10088","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.21","170145983","231613","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.07","25637273","11033","0","0",,,"DELETED_INDEX"
"nontraite-syslog-2021.03.20","1116187","1429","0","0.00103953015059233","1116187","DELETE_INDEX","DELETED_INDEX"
"dhcp-logs-2021.05.20","248540086","348648","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.06","35225338","11461","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.11","1905803297","1946021","0","1.77491763327271","1905803297","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.10","1713340612","1797942","0","1.5956727899611","1713340612","DELETE_INDEX","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.13","1743909398","1837393","0","1.62414219044149","1743909398","DELETE_INDEX","DELETED_INDEX"
"%{[@metadata][beat]}-%{[@metadata][version]}-2021.04.30","718816598","1061014","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.12","1838896018","2166662","0","1.71260537393391","1838896018","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.7.0-2021.05.12","30318348","10699","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.11","26335322","10818","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.19","240920298","336133","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.18","243907336","350283","0","0",,,"DELETED_INDEX"
"filebeat-7.7.0-2021.05.10","20798827","11866","0","0",,,"DELETED_INDEX"
"dhcp-logs-2021.05.17","215033922","311700","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.19","1941936196","2010063","0","1.80856901779771","1941936196","DELETE_INDEX","DELETED_INDEX"
"magento_integration_0553-2021.05.17","20245567","36530","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.16","10405601","17885","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.18","2124267159","2346400","0","1.97837795969099","2124267159","DELETE_INDEX","DELETED_INDEX"
"magento_integration_0553-2021.05.19","22590206","41209","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.18","18777225","34503","0","0",,,"DELETED_INDEX"
"heartbeat-7.10.0-2021.05.06-000005","416","0","0","0",,,"DELETED_INDEX"
